# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
seq,64,1,1048576,244121600,3.282513,2437.16
seq,64,2,2097152,232685568,3.438807,2326.39
seq,64,4,4194304,255000576,3.140304,2547.52
seq,64,8,8388608,193855488,4.135854,1934.30
seq,64,16,16777216,160432128,4.999214,1600.25
seq,64,32,33554432,179830784,4.470044,1789.69
seq,64,64,67108864,219152384,3.695163,2164.99
seq,64,128,134217728,230686720,3.531197,2265.52
seq,64,256,268435456,251658240,3.317783,2411.25
seq,64,512,536870912,268435456,3.302135,2422.67
# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
seq,256,1,1048576,272269312,2.938376,2722.59
seq,256,2,2097152,276619264,2.892148,2766.11
seq,256,4,4194304,232079360,3.462053,2310.77
seq,256,8,8388608,192348160,4.161559,1922.36
seq,256,16,16777216,128778240,6.217604,1286.67
seq,256,32,33554432,71565312,11.247879,711.25
seq,256,64,67108864,58458112,13.821109,578.82
seq,256,128,134217728,47710208,16.942799,472.18
seq,256,256,268435456,50331648,16.860295,474.49
seq,256,512,536870912,52428800,16.844536,474.93
# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
seq,1024,1,1048576,294035456,2.720779,2940.33
seq,1024,2,2097152,289212416,2.766192,2892.06
seq,1024,4,4194304,218345472,3.664023,2183.39
seq,1024,8,8388608,239484928,3.340807,2394.63
seq,1024,16,16777216,160382976,4.988840,1603.58
seq,1024,32,33554432,65241088,12.273611,651.80
seq,1024,64,67108864,48365568,16.587651,482.29
seq,1024,128,134217728,42074112,19.088665,419.10
seq,1024,256,268435456,45088768,17.983558,444.85
seq,1024,512,536870912,43515904,19.209280,416.47
# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
rand,64,1,1048576,1100218368,0.727164,11001.64
rand,64,2,2097152,754909184,1.059813,7548.50
rand,64,4,4194304,513933312,1.557024,5138.01
rand,64,8,8388608,457179136,1.750812,4569.31
rand,64,16,16777216,147062784,5.444052,1469.49
rand,64,32,33554432,86507520,9.390958,851.88
rand,64,64,67108864,68157440,12.111479,660.53
rand,64,128,134217728,58720256,14.572990,548.96
rand,64,256,268435456,50331648,17.236318,464.14
rand,64,512,536870912,67108864,20.208749,395.87
# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
rand,256,1,1048576,989638656,0.809065,9887.95
rand,256,2,2097152,588406784,1.360885,5878.53
rand,256,4,4194304,301023232,2.657814,3009.99
rand,256,8,8388608,263979008,3.031440,2639.01
rand,256,16,16777216,100204544,8.001423,999.82
rand,256,32,33554432,61210624,13.124599,609.54
rand,256,64,67108864,51904512,15.557760,514.21
rand,256,128,134217728,47710208,17.355684,460.94
rand,256,256,268435456,41943040,20.377682,392.59
rand,256,512,536870912,41943040,22.050803,362.80
# mode,stride_B,size_mib,bytes,accesses,avg_ns_per_access,bandwidth_MBps
rand,1024,1,1048576,948533248,0.843409,9485.31
rand,1024,2,2097152,526428160,1.519748,5264.03
rand,1024,4,4194304,311980032,2.564317,3119.74
rand,1024,8,8388608,280764416,2.858867,2798.31
rand,1024,16,16777216,191741952,4.173289,1916.95
rand,1024,32,33554432,66977792,11.953922,669.24
rand,1024,64,67108864,57344000,13.988297,571.91
rand,1024,128,134217728,47054848,17.201487,465.08
rand,1024,256,268435456,41418752,19.633082,407.48
rand,1024,512,536870912,35127296,23.424833,341.52
